Source;Target;Type;Weight
666.0;302;Directed;3
765.0;303;Directed;1
2116.0;304;Directed;1
654.0;305;Directed;2
783.0;305;Directed;2
880.0;305;Directed;2
1063.0;305;Directed;2
1132.0;305;Directed;7
1467.0;305;Directed;15
1753.0;305;Directed;10
1825.0;305;Directed;2
2113.0;305;Directed;2
1601.0;306;Directed;1
895.0;307;Directed;4
1467.0;308;Directed;3
2011.0;309;Directed;1
1632.0;310;Directed;1
1467.0;311;Directed;2
1120.0;312;Directed;1
1632.0;313;Directed;11
2011.0;313;Directed;1
874.0;314;Directed;5
884.0;314;Directed;1
1601.0;314;Directed;3
1746.0;314;Directed;1
658.0;315;Directed;1
895.0;316;Directed;4
1601.0;317;Directed;1
895.0;318;Directed;4
895.0;319;Directed;4
2011.0;320;Directed;1
1361.0;321;Directed;4
895.0;322;Directed;4
1452.0;323;Directed;1
867.0;324;Directed;3
1214.0;324;Directed;1
1467.0;325;Directed;1
1632.0;326;Directed;1
;327;Directed;8
765.0;328;Directed;1
1632.0;328;Directed;2
1467.0;329;Directed;4
1944.0;330;Directed;1
1241.0;331;Directed;1
1286.0;331;Directed;1
666.0;332;Directed;3
902.0;332;Directed;6
770.0;333;Directed;4
1243.0;333;Directed;5
;334;Directed;9
764.0;334;Directed;1
1298.0;335;Directed;5
641.0;336;Directed;1
2027.0;336;Directed;7
867.0;337;Directed;3
895.0;337;Directed;4
895.0;338;Directed;4
895.0;339;Directed;4
1601.0;340;Directed;1
1119.0;341;Directed;2
1670.0;342;Directed;6
658.0;343;Directed;1
884.0;343;Directed;1
1361.0;343;Directed;4
1601.0;343;Directed;16
1746.0;343;Directed;1
895.0;344;Directed;4
2027.0;345;Directed;3
895.0;346;Directed;4
1467.0;347;Directed;1
1930.0;348;Directed;1
652.0;349;Directed;4
1930.0;349;Directed;2
2116.0;350;Directed;1
1062.0;351;Directed;2
1632.0;352;Directed;1
1601.0;353;Directed;1
1601.0;354;Directed;1
765.0;355;Directed;1
1632.0;355;Directed;10
1213.0;356;Directed;1
1670.0;356;Directed;5
2080.0;356;Directed;1
1934.0;357;Directed;3
902.0;358;Directed;6
773.0;359;Directed;1
895.0;360;Directed;4
